win,lose,probability
Sacramento Kings,Minnesota Timberwolves,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Chicago Bulls,Denver Nuggets,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Detroit Pistons,Portland Trail Blazers,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Los Angeles Lakers,Charlotte Hornets,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Memphis Grizzlies,Phoenix Suns,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Oklahoma City Thunder,Utah Jazz,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Washington Wizards,Golden State Warriors,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Atlanta Hawks,Dallas Mavericks,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Boston Celtics,Cleveland Cavaliers,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Los Angeles Clippers,Houston Rockets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Miami Heat,Philadelphia 76ers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Milwaukee Bucks,Denver Nuggets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
New Orleans Pelicans,Detroit Pistons,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Orlando Magic,New York Knicks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Sacramento Kings,Brooklyn Nets,"tensor([0.9972], grad_fn=<RsubBackward1>)"
San Antonio Spurs,Indiana Pacers,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Toronto Raptors,Washington Wizards,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Utah Jazz,Minnesota Timberwolves,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Chicago Bulls,Golden State Warriors,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Phoenix Suns,Charlotte Hornets,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Portland Trail Blazers,Oklahoma City Thunder,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Atlanta Hawks,Cleveland Cavaliers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Dallas Mavericks,Memphis Grizzlies,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Los Angeles Lakers,Boston Celtics,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Milwaukee Bucks,Los Angeles Clippers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
New Orleans Pelicans,San Antonio Spurs,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Orlando Magic,Miami Heat,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Philadelphia 76ers,New York Knicks,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Phoenix Suns,Oklahoma City Thunder,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Utah Jazz,Brooklyn Nets,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Washington Wizards,Toronto Raptors,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Chicago Bulls,Los Angeles Clippers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Denver Nuggets,Charlotte Hornets,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Houston Rockets,Memphis Grizzlies,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Miami Heat,Cleveland Cavaliers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Milwaukee Bucks,Toronto Raptors,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Philadelphia 76ers,Detroit Pistons,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Portland Trail Blazers,Brooklyn Nets,"tensor([0.9970], grad_fn=<RsubBackward1>)"
San Antonio Spurs,Minnesota Timberwolves,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Atlanta Hawks,Indiana Pacers,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Dallas Mavericks,Oklahoma City Thunder,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Los Angeles Lakers,New Orleans Pelicans,"tensor([0.9971], grad_fn=<RsubBackward1>)"
New York Knicks,Golden State Warriors,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Phoenix Suns,Boston Celtics,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Sacramento Kings,Utah Jazz,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Washington Wizards,Orlando Magic,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Atlanta Hawks,Golden State Warriors,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Charlotte Hornets,Indiana Pacers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Cleveland Cavaliers,Miami Heat,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Denver Nuggets,Sacramento Kings,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Detroit Pistons,Chicago Bulls,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Los Angeles Clippers,Boston Celtics,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Memphis Grizzlies,Brooklyn Nets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Orlando Magic,New York Knicks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Philadelphia 76ers,Milwaukee Bucks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
San Antonio Spurs,Houston Rockets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Utah Jazz,New Orleans Pelicans,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Dallas Mavericks,Los Angeles Lakers,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Oklahoma City Thunder,Portland Trail Blazers,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Phoenix Suns,Washington Wizards,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Atlanta Hawks,Brooklyn Nets,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Denver Nuggets,Washington Wizards,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Golden State Warriors,Boston Celtics,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Houston Rockets,Utah Jazz,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Indiana Pacers,Detroit Pistons,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Miami Heat,Charlotte Hornets,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Milwaukee Bucks,New York Knicks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Minnesota Timberwolves,Los Angeles Clippers,"tensor([0.9970], grad_fn=<RsubBackward1>)"
New Orleans Pelicans,Toronto Raptors,"tensor([0.9969], grad_fn=<RsubBackward1>)"
Orlando Magic,Chicago Bulls,"tensor([0.9969], grad_fn=<RsubBackward1>)"
San Antonio Spurs,Sacramento Kings,"tensor([0.9969], grad_fn=<RsubBackward1>)"
Detroit Pistons,Cleveland Cavaliers,"tensor([0.9969], grad_fn=<RsubBackward1>)"
Memphis Grizzlies,Los Angeles Clippers,"tensor([0.9969], grad_fn=<RsubBackward1>)"
Oklahoma City Thunder,San Antonio Spurs,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Phoenix Suns,Los Angeles Lakers,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Portland Trail Blazers,Philadelphia 76ers,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Atlanta Hawks,Toronto Raptors,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Chicago Bulls,Houston Rockets,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Charlotte Hornets,Orlando Magic,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Dallas Mavericks,Brooklyn Nets,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Denver Nuggets,Boston Celtics,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Milwaukee Bucks,Indiana Pacers,"tensor([0.9969], grad_fn=<RsubBackward1>)"
Minnesota Timberwolves,Golden State Warriors,"tensor([0.9969], grad_fn=<RsubBackward1>)"
Sacramento Kings,Washington Wizards,"tensor([0.9969], grad_fn=<RsubBackward1>)"
Charlotte Hornets,New Orleans Pelicans,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Dallas Mavericks,Phoenix Suns,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Detroit Pistons,New York Knicks,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Los Angeles Clippers,Philadelphia 76ers,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Memphis Grizzlies,Atlanta Hawks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Miami Heat,Toronto Raptors,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Milwaukee Bucks,Minnesota Timberwolves,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Oklahoma City Thunder,Utah Jazz,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Orlando Magic,Cleveland Cavaliers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Portland Trail Blazers,Washington Wizards,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Sacramento Kings,Denver Nuggets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
San Antonio Spurs,Golden State Warriors,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Boston Celtics,Chicago Bulls,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Brooklyn Nets,New York Knicks,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Houston Rockets,Cleveland Cavaliers,"tensor([0.9969], grad_fn=<RsubBackward1>)"
Indiana Pacers,Miami Heat,"tensor([0.9969], grad_fn=<RsubBackward1>)"
Los Angeles Lakers,Philadelphia 76ers,"tensor([0.9969], grad_fn=<RsubBackward1>)"
Phoenix Suns,Portland Trail Blazers,"tensor([0.9969], grad_fn=<RsubBackward1>)"
Charlotte Hornets,Chicago Bulls,"tensor([0.9969], grad_fn=<RsubBackward1>)"
Denver Nuggets,Los Angeles Lakers,"tensor([0.9969], grad_fn=<RsubBackward1>)"
Memphis Grizzlies,Milwaukee Bucks,"tensor([0.9969], grad_fn=<RsubBackward1>)"
Minnesota Timberwolves,Washington Wizards,"tensor([0.9969], grad_fn=<RsubBackward1>)"
Sacramento Kings,Orlando Magic,"tensor([0.9970], grad_fn=<RsubBackward1>)"
San Antonio Spurs,Atlanta Hawks,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Toronto Raptors,Dallas Mavericks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Utah Jazz,Los Angeles Clippers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Brooklyn Nets,Oklahoma City Thunder,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Cleveland Cavaliers,Detroit Pistons,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Golden State Warriors,Philadelphia 76ers,"tensor([0.9970], grad_fn=<RsubBackward1>)"
New Orleans Pelicans,Portland Trail Blazers,"tensor([0.9970], grad_fn=<RsubBackward1>)"
New York Knicks,Indiana Pacers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Boston Celtics,Minnesota Timberwolves,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Chicago Bulls,Memphis Grizzlies,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Detroit Pistons,Utah Jazz,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Houston Rockets,Los Angeles Lakers,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Indiana Pacers,Charlotte Hornets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Los Angeles Clippers,Milwaukee Bucks,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Miami Heat,New Orleans Pelicans,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Phoenix Suns,Sacramento Kings,"tensor([0.9971], grad_fn=<RsubBackward1>)"
San Antonio Spurs,Portland Trail Blazers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Washington Wizards,Dallas Mavericks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Atlanta Hawks,Memphis Grizzlies,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Cleveland Cavaliers,Utah Jazz,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Denver Nuggets,Los Angeles Clippers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Golden State Warriors,Orlando Magic,"tensor([0.9971], grad_fn=<RsubBackward1>)"
New York Knicks,Brooklyn Nets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Toronto Raptors,Oklahoma City Thunder,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Brooklyn Nets,Boston Celtics,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Detroit Pistons,Toronto Raptors,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Los Angeles Lakers,Milwaukee Bucks,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Miami Heat,Minnesota Timberwolves,"tensor([0.9969], grad_fn=<RsubBackward1>)"
New Orleans Pelicans,Houston Rockets,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Philadelphia 76ers,Dallas Mavericks,"tensor([0.9969], grad_fn=<RsubBackward1>)"
Phoenix Suns,Orlando Magic,"tensor([0.9969], grad_fn=<RsubBackward1>)"
Washington Wizards,Chicago Bulls,"tensor([0.9969], grad_fn=<RsubBackward1>)"
Atlanta Hawks,Portland Trail Blazers,"tensor([0.9969], grad_fn=<RsubBackward1>)"
Chicago Bulls,Utah Jazz,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Charlotte Hornets,Washington Wizards,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Denver Nuggets,Houston Rockets,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Golden State Warriors,Milwaukee Bucks,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Los Angeles Clippers,Cleveland Cavaliers,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Memphis Grizzlies,San Antonio Spurs,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Oklahoma City Thunder,Sacramento Kings,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Brooklyn Nets,Dallas Mavericks,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Detroit Pistons,Phoenix Suns,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Los Angeles Lakers,Cleveland Cavaliers,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Miami Heat,Portland Trail Blazers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
New Orleans Pelicans,Minnesota Timberwolves,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Philadelphia 76ers,Boston Celtics,"tensor([0.9971], grad_fn=<RsubBackward1>)"
San Antonio Spurs,Sacramento Kings,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Toronto Raptors,Indiana Pacers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Boston Celtics,Washington Wizards,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Charlotte Hornets,Atlanta Hawks,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Houston Rockets,Denver Nuggets,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Indiana Pacers,Utah Jazz,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Los Angeles Clippers,New York Knicks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Oklahoma City Thunder,Golden State Warriors,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Orlando Magic,Philadelphia 76ers,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Brooklyn Nets,Detroit Pistons,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Dallas Mavericks,Golden State Warriors,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Los Angeles Lakers,Los Angeles Clippers,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Miami Heat,Phoenix Suns,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Minnesota Timberwolves,San Antonio Spurs,"tensor([0.9971], grad_fn=<RsubBackward1>)"
New Orleans Pelicans,Memphis Grizzlies,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Portland Trail Blazers,Milwaukee Bucks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Toronto Raptors,Chicago Bulls,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Boston Celtics,Indiana Pacers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Chicago Bulls,Detroit Pistons,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Denver Nuggets,Cleveland Cavaliers,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Oklahoma City Thunder,Philadelphia 76ers,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Orlando Magic,Charlotte Hornets,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Sacramento Kings,Milwaukee Bucks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Utah Jazz,New York Knicks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Washington Wizards,Atlanta Hawks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Brooklyn Nets,Phoenix Suns,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Dallas Mavericks,Los Angeles Clippers,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Miami Heat,Toronto Raptors,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Portland Trail Blazers,New York Knicks,"tensor([0.9972], grad_fn=<RsubBackward1>)"
San Antonio Spurs,Memphis Grizzlies,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Boston Celtics,Phoenix Suns,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Chicago Bulls,Philadelphia 76ers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Charlotte Hornets,Cleveland Cavaliers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Golden State Warriors,Sacramento Kings,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Houston Rockets,New Orleans Pelicans,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Indiana Pacers,Denver Nuggets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Los Angeles Lakers,Minnesota Timberwolves,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Milwaukee Bucks,Atlanta Hawks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Orlando Magic,Detroit Pistons,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Washington Wizards,Brooklyn Nets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Cleveland Cavaliers,Washington Wizards,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Dallas Mavericks,Toronto Raptors,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Los Angeles Clippers,Utah Jazz,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Portland Trail Blazers,Minnesota Timberwolves,"tensor([0.9971], grad_fn=<RsubBackward1>)"
San Antonio Spurs,New York Knicks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Atlanta Hawks,Brooklyn Nets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Boston Celtics,Miami Heat,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Charlotte Hornets,Phoenix Suns,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Denver Nuggets,New Orleans Pelicans,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Golden State Warriors,Memphis Grizzlies,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Houston Rockets,Oklahoma City Thunder,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Indiana Pacers,Philadelphia 76ers,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Los Angeles Clippers,Sacramento Kings,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Los Angeles Lakers,Portland Trail Blazers,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Milwaukee Bucks,Chicago Bulls,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Dallas Mavericks,Oklahoma City Thunder,"tensor([0.9971], grad_fn=<RsubBackward1>)"
New York Knicks,Detroit Pistons,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Sacramento Kings,Memphis Grizzlies,"tensor([0.9971], grad_fn=<RsubBackward1>)"
San Antonio Spurs,Cleveland Cavaliers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Toronto Raptors,Orlando Magic,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Utah Jazz,New Orleans Pelicans,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Atlanta Hawks,Phoenix Suns,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Brooklyn Nets,Philadelphia 76ers,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Charlotte Hornets,Milwaukee Bucks,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Detroit Pistons,Miami Heat,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Houston Rockets,Golden State Warriors,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Indiana Pacers,Minnesota Timberwolves,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Los Angeles Lakers,Washington Wizards,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Portland Trail Blazers,Denver Nuggets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Boston Celtics,Milwaukee Bucks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Los Angeles Clippers,Washington Wizards,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Memphis Grizzlies,Indiana Pacers,"tensor([0.9972], grad_fn=<RsubBackward1>)"
New Orleans Pelicans,Dallas Mavericks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
New York Knicks,Miami Heat,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Orlando Magic,Oklahoma City Thunder,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Philadelphia 76ers,Atlanta Hawks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Sacramento Kings,Utah Jazz,"tensor([0.9971], grad_fn=<RsubBackward1>)"
San Antonio Spurs,Golden State Warriors,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Toronto Raptors,Charlotte Hornets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Chicago Bulls,Cleveland Cavaliers,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Detroit Pistons,Brooklyn Nets,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Minnesota Timberwolves,Los Angeles Lakers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Phoenix Suns,Los Angeles Clippers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Portland Trail Blazers,Houston Rockets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Boston Celtics,Orlando Magic,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Charlotte Hornets,Denver Nuggets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Cleveland Cavaliers,Philadelphia 76ers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Golden State Warriors,Houston Rockets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Memphis Grizzlies,Dallas Mavericks,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Miami Heat,New York Knicks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Milwaukee Bucks,Detroit Pistons,"tensor([0.9971], grad_fn=<RsubBackward1>)"
New Orleans Pelicans,Sacramento Kings,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Oklahoma City Thunder,San Antonio Spurs,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Toronto Raptors,Indiana Pacers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Utah Jazz,Washington Wizards,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Brooklyn Nets,Orlando Magic,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Chicago Bulls,Atlanta Hawks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Los Angeles Clippers,Los Angeles Lakers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Minnesota Timberwolves,Sacramento Kings,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Portland Trail Blazers,Phoenix Suns,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Brooklyn Nets,Atlanta Hawks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Cleveland Cavaliers,Indiana Pacers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Golden State Warriors,Washington Wizards,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Los Angeles Lakers,Memphis Grizzlies,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Miami Heat,Denver Nuggets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Milwaukee Bucks,Dallas Mavericks,"tensor([0.9970], grad_fn=<RsubBackward1>)"
New Orleans Pelicans,Chicago Bulls,"tensor([0.9969], grad_fn=<RsubBackward1>)"
New York Knicks,Boston Celtics,"tensor([0.9969], grad_fn=<RsubBackward1>)"
Oklahoma City Thunder,Charlotte Hornets,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Phoenix Suns,Houston Rockets,"tensor([0.9970], grad_fn=<RsubBackward1>)"
San Antonio Spurs,Utah Jazz,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Toronto Raptors,Philadelphia 76ers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Cleveland Cavaliers,Orlando Magic,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Golden State Warriors,Minnesota Timberwolves,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Indiana Pacers,Toronto Raptors,"tensor([0.9970], grad_fn=<RsubBackward1>)"
New Orleans Pelicans,Denver Nuggets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
New York Knicks,Chicago Bulls,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Oklahoma City Thunder,Milwaukee Bucks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Philadelphia 76ers,Brooklyn Nets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Sacramento Kings,Dallas Mavericks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
San Antonio Spurs,Memphis Grizzlies,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Utah Jazz,Portland Trail Blazers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Washington Wizards,Charlotte Hornets,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Boston Celtics,Cleveland Cavaliers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Charlotte Hornets,Miami Heat,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Detroit Pistons,Toronto Raptors,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Houston Rockets,Denver Nuggets,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Los Angeles Clippers,Dallas Mavericks,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Memphis Grizzlies,Oklahoma City Thunder,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Phoenix Suns,Golden State Warriors,"tensor([0.9971], grad_fn=<RsubBackward1>)"
San Antonio Spurs,Los Angeles Lakers,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Atlanta Hawks,Boston Celtics,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Indiana Pacers,Milwaukee Bucks,"tensor([0.9971], grad_fn=<RsubBackward1>)"
New York Knicks,Washington Wizards,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Orlando Magic,Brooklyn Nets,"tensor([0.9972], grad_fn=<RsubBackward1>)"
Philadelphia 76ers,Chicago Bulls,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Portland Trail Blazers,Minnesota Timberwolves,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Cleveland Cavaliers,Atlanta Hawks,"tensor([0.9970], grad_fn=<RsubBackward1>)"
Dallas Mavericks,San Antonio Spurs,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Denver Nuggets,New Orleans Pelicans,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Houston Rockets,Detroit Pistons,"tensor([0.9971], grad_fn=<RsubBackward1>)"
Los Angeles Lakers,Sacramento Kings,"tensor([0.9971], grad_fn=<RsubBackward1>)"
